command,mean,stddev,median,user,system,min,max
N=50_M=10_zero,0.0203929292,0.00013139645554901552,0.020394125000000003,0.0179687,0.0017138999999999998,0.020185375000000002,0.0206105
N=50_M=10_one,0.0203589833,0.00019585802384666846,0.020357958000000002,0.0179499,0.0016660999999999998,0.020104958000000003,0.020673917
N=50_M=10_many,0.0206491792,0.00015660989042117756,0.020641271000000003,0.0182086,0.0017434999999999998,0.020368167000000003,0.020852833
N=50_M=25_zero,0.0996698709,0.0006684807127874101,0.0996877085,0.09307170000000001,0.0055301000000000005,0.09868787500000001,0.1005675
N=50_M=25_one,0.09967289990000001,0.0005006942595526648,0.09988000000000001,0.0931056,0.0055311,0.09880875,0.10022500000000001
N=50_M=25_many,0.1002199042,0.000597781989590744,0.100122667,0.09357679999999999,0.0055326,0.0995265,0.10120991600000001
N=50_M=50_zero,0.43777712499999993,0.0014856770614742878,0.4380190835000001,0.4136662999999999,0.0217909,0.43561225000000003,0.439605375
N=50_M=50_one,0.4381453291,0.0029785411829922996,0.43816891700000005,0.41444539999999996,0.020988600000000003,0.43483758400000005,0.443626791
N=50_M=50_many,0.43905691250000006,0.0022683114490694095,0.4385622295,0.4162828,0.020143499999999998,0.43602487500000003,0.444152667
N=50_M=75_zero,1.1232231458000002,0.014043782342412098,1.1205197915,1.0674432999999999,0.05013969999999999,1.106106791,1.149248292
N=50_M=75_one,1.1125744833,0.002845922837166143,1.1130447915000001,1.0621118999999999,0.04654459999999999,1.107305333,1.116276417
N=50_M=75_many,1.1170797166,0.004590566123494032,1.1167904165,1.0650571,0.047672599999999996,1.111816417,1.127120417
N=50_M=100_zero,2.0366351794,0.01274414774256896,2.034284938,1.9457349000000002,0.08536049999999998,2.021868084,2.060946917
N=50_M=100_one,2.0310369332000002,0.009175085959040399,2.0287767705000004,1.9436044,0.0824063,2.021976042,2.052064833
N=50_M=100_many,2.0426261041999996,0.01822969256105677,2.035824188,1.9519241999999999,0.0838613,2.02417625,2.085020791
N=100_M=10_zero,0.05045453750000001,0.001150901318142751,0.0501415625,0.046251999999999995,0.0032871000000000003,0.04973533300000001,0.053685250000000004
N=100_M=10_one,0.0500638875,0.000289857104446026,0.0500339165,0.0463267,0.0028358000000000003,0.049675667,0.050578083
N=100_M=10_many,0.0505424623,0.0002655570646220458,0.05056247900000001,0.0468042,0.0028864,0.050170625,0.050883666
N=100_M=25_zero,0.2770788167,0.002167741892867075,0.2770350205,0.26158990000000004,0.013832300000000002,0.2731735,0.28027429200000004
N=100_M=25_one,0.27900582910000005,0.0027713452837220217,0.27803229150000003,0.26353039999999994,0.013956699999999999,0.275494666,0.284560875
N=100_M=25_many,0.2800524085,0.002938119521201887,0.279587104,0.26375529999999997,0.014520199999999997,0.27603583400000004,0.284876791
N=100_M=50_zero,1.2550491499,0.007918269150299558,1.2528922704999998,1.1915611,0.0589041,1.24690625,1.273421417
N=100_M=50_one,1.2614759707999998,0.01142420230377114,1.259477687,1.1962929999999998,0.06225000000000001,1.246542042,1.285855333
